"@timestamp","kubernetes.pod_name",log
"Jul 2, 2025 @ 12:01:21.825","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T03:01:21.81819943Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44482"",""repo"":""infra"",""after"":""b9915990aa607ebd2657bc3f4ba6240c9a31490f"",""before"":""c852d3f8453fadf7379aeb033f896299bc348936"",""commits_count"":1,""commits"":[{""id"":""b9915990aa607ebd2657bc3f4ba6240c9a31490f"",""added"":[],""modified"":[""kubernetes/_flux/flux-system/gotk-components.yaml"",""kubernetes/_flux/production/flux-system/gotk-components.yaml"",""kubernetes/_flux/staging/flux-system/gotk-components.yaml""],""removed"":[],""message"":""Update dependency fluxcd/flux2 to v2.6.3"",""timestamp"":""2025-07-02T03:01:19Z"",""tree_id"":""6672b484a4b53866ec989e16bbeee5e7b9d82717"",""url"":""https://github.com/piny940/infra/commit/b9915990aa607ebd2657bc3f4ba6240c9a31490f""}]}"
"Jul 2, 2025 @ 12:00:55.230","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T03:00:55.225932675Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44482"",""repo"":""infra"",""after"":""16a3b6b8ef9bd04baa542464b7a3ff6c9302d267"",""before"":""2cc20f04c5c5691d7ae1760046bd0398cc47f9e9"",""commits_count"":4,""commits"":[{""id"":""b445c721703490000189ed65864d5cfa684b9d6b"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Staging: ghcr.io/piny940/auth-backend:stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458"",""timestamp"":""2025-07-02T02:57:37Z"",""tree_id"":""195d815f70e604a5c563c8a68bca2a70754053a9"",""url"":""https://github.com/piny940/infra/commit/b445c721703490000189ed65864d5cfa684b9d6b""},{""id"":""cf7976e0236a13053471a43bbac99925907216bd"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Staging: ghcr.io/piny940/auth-frontend:stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458"",""timestamp"":""2025-07-02T02:58:20Z"",""tree_id"":""9c8306a8b5a3161fad09cc828798de2528983f61"",""url"":""https://github.com/piny940/infra/commit/cf7976e0236a13053471a43bbac99925907216bd""},{""id"":""7de931bbf2b9273b1c2fcd9feff18d14b5ceb8a7"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Staging: ghcr.io/piny940/auth-example:stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458"",""timestamp"":""2025-07-02T02:58:31Z"",""tree_id"":""a765bd368f177dc79ced4865f7ec5e46185d9c04"",""url"":""https://github.com/piny940/infra/commit/7de931bbf2b9273b1c2fcd9feff18d14b5ceb8a7""},{""id"":""16a3b6b8ef9bd04baa542464b7a3ff6c9302d267"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Merge pull request #2848 from piny940/fluxcd/image-update\n\nFluxCD Image Update Automation PR"",""timestamp"":""2025-07-02T03:00:43Z"",""tree_id"":""a765bd368f177dc79ced4865f7ec5e46185d9c04"",""url"":""https://github.com/piny940/infra/commit/16a3b6b8ef9bd04baa542464b7a3ff6c9302d267""}]}"
"Jul 2, 2025 @ 12:00:46.248","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T03:00:46.120233363Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44482"",""repo"":""infra"",""after"":""16a3b6b8ef9bd04baa542464b7a3ff6c9302d267"",""before"":""2cc20f04c5c5691d7ae1760046bd0398cc47f9e9"",""commits_count"":4,""commits"":[{""id"":""b445c721703490000189ed65864d5cfa684b9d6b"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Staging: ghcr.io/piny940/auth-backend:stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458"",""timestamp"":""2025-07-02T02:57:37Z"",""tree_id"":""195d815f70e604a5c563c8a68bca2a70754053a9"",""url"":""https://github.com/piny940/infra/commit/b445c721703490000189ed65864d5cfa684b9d6b""},{""id"":""cf7976e0236a13053471a43bbac99925907216bd"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Staging: ghcr.io/piny940/auth-frontend:stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458"",""timestamp"":""2025-07-02T02:58:20Z"",""tree_id"":""9c8306a8b5a3161fad09cc828798de2528983f61"",""url"":""https://github.com/piny940/infra/commit/cf7976e0236a13053471a43bbac99925907216bd""},{""id"":""7de931bbf2b9273b1c2fcd9feff18d14b5ceb8a7"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Staging: ghcr.io/piny940/auth-example:stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458"",""timestamp"":""2025-07-02T02:58:31Z"",""tree_id"":""a765bd368f177dc79ced4865f7ec5e46185d9c04"",""url"":""https://github.com/piny940/infra/commit/7de931bbf2b9273b1c2fcd9feff18d14b5ceb8a7""},{""id"":""16a3b6b8ef9bd04baa542464b7a3ff6c9302d267"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Merge pull request #2848 from piny940/fluxcd/image-update\n\nFluxCD Image Update Automation PR"",""timestamp"":""2025-07-02T03:00:43Z"",""tree_id"":""a765bd368f177dc79ced4865f7ec5e46185d9c04"",""url"":""https://github.com/piny940/infra/commit/16a3b6b8ef9bd04baa542464b7a3ff6c9302d267""}]}"
"Jul 2, 2025 @ 12:00:46.226","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T03:00:46.120543923Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44496"",""repo"":""infra"",""after"":""0000000000000000000000000000000000000000"",""before"":""7de931bbf2b9273b1c2fcd9feff18d14b5ceb8a7"",""commits_count"":0,""commits"":[]}"
"Jul 2, 2025 @ 11:58:35.642","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:58:35.636304222Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:45578"",""repo"":""infra"",""after"":""7de931bbf2b9273b1c2fcd9feff18d14b5ceb8a7"",""before"":""cf7976e0236a13053471a43bbac99925907216bd"",""commits_count"":1,""commits"":[{""id"":""7de931bbf2b9273b1c2fcd9feff18d14b5ceb8a7"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Staging: ghcr.io/piny940/auth-example:stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458"",""timestamp"":""2025-07-02T02:58:31Z"",""tree_id"":""a765bd368f177dc79ced4865f7ec5e46185d9c04"",""url"":""https://github.com/piny940/infra/commit/7de931bbf2b9273b1c2fcd9feff18d14b5ceb8a7""}]}"
"Jul 2, 2025 @ 11:58:24.346","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:58:24.345633837Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:45578"",""repo"":""infra"",""after"":""cf7976e0236a13053471a43bbac99925907216bd"",""before"":""b445c721703490000189ed65864d5cfa684b9d6b"",""commits_count"":1,""commits"":[{""id"":""cf7976e0236a13053471a43bbac99925907216bd"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Staging: ghcr.io/piny940/auth-frontend:stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458"",""timestamp"":""2025-07-02T02:58:20Z"",""tree_id"":""9c8306a8b5a3161fad09cc828798de2528983f61"",""url"":""https://github.com/piny940/infra/commit/cf7976e0236a13053471a43bbac99925907216bd""}]}"
"Jul 2, 2025 @ 11:57:40.967","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:57:40.963096356Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:45578"",""repo"":""infra"",""after"":""b445c721703490000189ed65864d5cfa684b9d6b"",""before"":""0000000000000000000000000000000000000000"",""commits_count"":1,""commits"":[{""id"":""b445c721703490000189ed65864d5cfa684b9d6b"",""added"":[],""modified"":[""kubernetes/apps/auth/staging/kustomization.yaml""],""removed"":[],""message"":""Staging: ghcr.io/piny940/auth-backend:stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458"",""timestamp"":""2025-07-02T02:57:37Z"",""tree_id"":""195d815f70e604a5c563c8a68bca2a70754053a9"",""url"":""https://github.com/piny940/infra/commit/b445c721703490000189ed65864d5cfa684b9d6b""}]}"
"Jul 2, 2025 @ 11:55:25.746","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:55:25.719673458Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:46596"",""repo"":""infra"",""after"":""c852d3f8453fadf7379aeb033f896299bc348936"",""before"":""108434260567720c29ea892240f62c88cda33c44"",""commits_count"":1,""commits"":[{""id"":""c852d3f8453fadf7379aeb033f896299bc348936"",""added"":[],""modified"":[""kubernetes/_flux/flux-system/gotk-components.yaml"",""kubernetes/_flux/production/flux-system/gotk-components.yaml"",""kubernetes/_flux/staging/flux-system/gotk-components.yaml""],""removed"":[],""message"":""Update dependency fluxcd/flux2 to v2.6.3"",""timestamp"":""2025-07-02T02:55:23Z"",""tree_id"":""6260daeea97cd79e830f981c961bb15ba0923268"",""url"":""https://github.com/piny940/infra/commit/c852d3f8453fadf7379aeb033f896299bc348936""}]}"
"Jul 2, 2025 @ 11:54:52.912","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:54:52.907217917Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:46596"",""repo"":""infra"",""after"":""2cc20f04c5c5691d7ae1760046bd0398cc47f9e9"",""before"":""f5a76a395bd5869b56b2987565584f53ee8586d6"",""commits_count"":2,""commits"":[{""id"":""ab90fa746032d72b84f2782a5d84124b65da7419"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Production: ghcr.io/piny940/auth-frontend:1.0.422"",""timestamp"":""2025-07-02T02:53:46Z"",""tree_id"":""a60d24a07261a4ff6f689300bbfeaebf06fc645a"",""url"":""https://github.com/piny940/infra/commit/ab90fa746032d72b84f2782a5d84124b65da7419""},{""id"":""2cc20f04c5c5691d7ae1760046bd0398cc47f9e9"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Merge pull request #2847 from piny940/fluxcd/image-update\n\nFluxCD Image Update Automation PR"",""timestamp"":""2025-07-02T02:54:42Z"",""tree_id"":""a60d24a07261a4ff6f689300bbfeaebf06fc645a"",""url"":""https://github.com/piny940/infra/commit/2cc20f04c5c5691d7ae1760046bd0398cc47f9e9""}]}"
"Jul 2, 2025 @ 11:54:44.474","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:54:44.461759635Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:46596"",""repo"":""infra"",""after"":""2cc20f04c5c5691d7ae1760046bd0398cc47f9e9"",""before"":""f5a76a395bd5869b56b2987565584f53ee8586d6"",""commits_count"":2,""commits"":[{""id"":""ab90fa746032d72b84f2782a5d84124b65da7419"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Production: ghcr.io/piny940/auth-frontend:1.0.422"",""timestamp"":""2025-07-02T02:53:46Z"",""tree_id"":""a60d24a07261a4ff6f689300bbfeaebf06fc645a"",""url"":""https://github.com/piny940/infra/commit/ab90fa746032d72b84f2782a5d84124b65da7419""},{""id"":""2cc20f04c5c5691d7ae1760046bd0398cc47f9e9"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Merge pull request #2847 from piny940/fluxcd/image-update\n\nFluxCD Image Update Automation PR"",""timestamp"":""2025-07-02T02:54:42Z"",""tree_id"":""a60d24a07261a4ff6f689300bbfeaebf06fc645a"",""url"":""https://github.com/piny940/infra/commit/2cc20f04c5c5691d7ae1760046bd0398cc47f9e9""}]}"
"Jul 2, 2025 @ 11:54:44.466","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:54:44.462686746Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:36348"",""repo"":""infra"",""after"":""0000000000000000000000000000000000000000"",""before"":""ab90fa746032d72b84f2782a5d84124b65da7419"",""commits_count"":0,""commits"":[]}"
"Jul 2, 2025 @ 11:53:49.870","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:53:49.833086542Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:46596"",""repo"":""infra"",""after"":""ab90fa746032d72b84f2782a5d84124b65da7419"",""before"":""0000000000000000000000000000000000000000"",""commits_count"":1,""commits"":[{""id"":""ab90fa746032d72b84f2782a5d84124b65da7419"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Production: ghcr.io/piny940/auth-frontend:1.0.422"",""timestamp"":""2025-07-02T02:53:46Z"",""tree_id"":""a60d24a07261a4ff6f689300bbfeaebf06fc645a"",""url"":""https://github.com/piny940/infra/commit/ab90fa746032d72b84f2782a5d84124b65da7419""}]}"
"Jul 2, 2025 @ 11:52:38.006","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:52:38.003060921Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:58530"",""repo"":""infra"",""after"":""108434260567720c29ea892240f62c88cda33c44"",""before"":""48761ce4d3ad0cc8596d420d4f99700b99485089"",""commits_count"":1,""commits"":[{""id"":""108434260567720c29ea892240f62c88cda33c44"",""added"":[],""modified"":[""kubernetes/_flux/flux-system/gotk-components.yaml"",""kubernetes/_flux/production/flux-system/gotk-components.yaml"",""kubernetes/_flux/staging/flux-system/gotk-components.yaml""],""removed"":[],""message"":""Update dependency fluxcd/flux2 to v2.6.3"",""timestamp"":""2025-07-02T02:52:35Z"",""tree_id"":""95a8d495bb4cf24ecde0b4b1edcef567233cc473"",""url"":""https://github.com/piny940/infra/commit/108434260567720c29ea892240f62c88cda33c44""}]}"
"Jul 2, 2025 @ 11:51:58.855","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:51:58.852591788Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:58530"",""repo"":""infra"",""after"":""f5a76a395bd5869b56b2987565584f53ee8586d6"",""before"":""176377c0bc4033b4ea5087bd446465ab21bba1c5"",""commits_count"":3,""commits"":[{""id"":""117cff97eefc2770e5a9b4cebe84429a62ab2230"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Production: ghcr.io/piny940/auth-example:1.0.422"",""timestamp"":""2025-07-02T02:50:35Z"",""tree_id"":""513a90655c4342d405cd8382e61f6c6f01d8f206"",""url"":""https://github.com/piny940/infra/commit/117cff97eefc2770e5a9b4cebe84429a62ab2230""},{""id"":""1b231fa8f3d2cf0cf3382248eeec0775a86948f1"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Production: ghcr.io/piny940/auth-backend:1.0.422"",""timestamp"":""2025-07-02T02:51:05Z"",""tree_id"":""15dde7a3a6a48c57ad9eb291d856e58f19037e20"",""url"":""https://github.com/piny940/infra/commit/1b231fa8f3d2cf0cf3382248eeec0775a86948f1""},{""id"":""f5a76a395bd5869b56b2987565584f53ee8586d6"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Merge pull request #2846 from piny940/fluxcd/image-update\n\nFluxCD Image Update Automation PR"",""timestamp"":""2025-07-02T02:51:47Z"",""tree_id"":""15dde7a3a6a48c57ad9eb291d856e58f19037e20"",""url"":""https://github.com/piny940/infra/commit/f5a76a395bd5869b56b2987565584f53ee8586d6""}]}"
"Jul 2, 2025 @ 11:51:50.974","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:51:50.959507548Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:58530"",""repo"":""infra"",""after"":""f5a76a395bd5869b56b2987565584f53ee8586d6"",""before"":""176377c0bc4033b4ea5087bd446465ab21bba1c5"",""commits_count"":3,""commits"":[{""id"":""117cff97eefc2770e5a9b4cebe84429a62ab2230"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Production: ghcr.io/piny940/auth-example:1.0.422"",""timestamp"":""2025-07-02T02:50:35Z"",""tree_id"":""513a90655c4342d405cd8382e61f6c6f01d8f206"",""url"":""https://github.com/piny940/infra/commit/117cff97eefc2770e5a9b4cebe84429a62ab2230""},{""id"":""1b231fa8f3d2cf0cf3382248eeec0775a86948f1"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Production: ghcr.io/piny940/auth-backend:1.0.422"",""timestamp"":""2025-07-02T02:51:05Z"",""tree_id"":""15dde7a3a6a48c57ad9eb291d856e58f19037e20"",""url"":""https://github.com/piny940/infra/commit/1b231fa8f3d2cf0cf3382248eeec0775a86948f1""},{""id"":""f5a76a395bd5869b56b2987565584f53ee8586d6"",""added"":[],""modified"":[""kubernetes/apps/auth/production/kustomization.yaml""],""removed"":[],""message"":""Merge pull request #2846 from piny940/fluxcd/image-update\n\nFluxCD Image Update Automation PR"",""timestamp"":""2025-07-02T02:51:47Z"",""tree_id"":""15dde7a3a6a48c57ad9eb291d856e58f19037e20"",""url"":""https://github.com/piny940/infra/commit/f5a76a395bd5869b56b2987565584f53ee8586d6""}]}"
"Jul 2, 2025 @ 11:51:50.970","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:51:50.958379494Z"",""level"":""INFO"",""msg"":""Push event received"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44750"",""repo"":""infra"",""after"":""0000000000000000000000000000000000000000"",""before"":""1b231fa8f3d2cf0cf3382248eeec0775a86948f1"",""commits_count"":0,""commits"":[]}"
